product_id,product_name_en,product_name_ar,category,brand,list_price_sar,unit_cost_sar,is_active
P001,Office Pro Annual,أوفيس برو السنوي,Productivity,Nimbus,299.0,94.0,True
P002,Focus Notes Plus,فوكس نوتس بلس,Productivity,Nimbus,89.0,24.0,True
P003,Arabic Learning Lab,مختبر التعلم العربي,Education,Madar,179.0,49.0,True
P004,STEM Academy Pass,اشتراك أكاديمية ستيم,Education,Madar,249.0,71.0,True
P005,Canvas Studio,استوديو كانفس,Design,Rimal,219.0,67.0,True
P006,Creator Asset Cloud,سحابة أصول المبدعين,Design,Rimal,139.0,35.0,True
P007,AI Writing Assistant,مساعد الكتابة الذكي,AI,Sahab,189.0,55.0,True
P008,AI Research Workspace,مساحة البحث الذكية,AI,Sahab,329.0,121.0,True
P009,Secure Vault Family,الخزنة الآمنة للعائلة,Security,Himaya,159.0,43.0,True
P010,Endpoint Guard Pro,حماية الأجهزة برو,Security,Himaya,279.0,83.0,True
P011,Cloud Backup 2TB,نسخ سحابي ٢ تيرابايت,Cloud,Afaq,199.0,61.0,True
P012,Team Cloud Workspace,مساحة عمل سحابية,Cloud,Afaq,359.0,137.0,True
